2015-05-15 09:28:41,292 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-8.1.16.v20140903
2015-05-15 09:28:41,330 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started SelectChannelConnector@127.0.0.1:54439
2015-05-15 10:21:22,117 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - stopped o.e.j.s.ServletContextHandler{/help,null}
2015-05-17 20:27:43,533 [Worker-325] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: skeleton:skeleton:0.0.1-SNAPSHOT @ /Users/jteissler/Desktop/eclipseworkspace/skeleton/pom.xml.
2015-05-17 20:27:48,913 [Worker-325] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /skeleton/src
2015-05-17 20:27:48,913 [Worker-325] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /skeleton/src overlaps with sources folder /skeleton/src
2015-05-17 20:27:50,772 [Worker-382] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 20:27:50,810 [Worker-382] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2015-05-17 20:27:50,868 [Worker-382] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 20:27:50,868 [Worker-382] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jteissler/Desktop/eclipseworkspace/skeleton/src/test/resources
2015-05-17 20:27:51,125 [Worker-325] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /skeleton/src/test/java because it overlaps with /skeleton/src
2015-05-17 20:27:51,557 [Worker-325] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2015-05-17 20:27:51,636 [Worker-325] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: skeleton:skeleton:0.0.1-SNAPSHOT @ /Users/jteissler/Desktop/eclipseworkspace/skeleton/pom.xml.
2015-05-17 20:27:53,905 [Worker-385] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 20:27:53,931 [Worker-385] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2015-05-17 20:27:53,945 [Worker-385] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 20:27:53,945 [Worker-385] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jteissler/Desktop/eclipseworkspace/skeleton/src/test/resources
2015-05-17 20:27:54,124 [Worker-325] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /skeleton/src
2015-05-17 20:27:54,124 [Worker-325] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /skeleton/src overlaps with sources folder /skeleton/src
2015-05-17 20:27:54,353 [Worker-325] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /skeleton/src/test/java because it overlaps with /skeleton/src
2015-05-17 20:27:54,648 [Worker-325] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 3 sec
2015-05-17 20:27:56,883 [Worker-350] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 20:27:56,895 [Worker-350] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2015-05-17 20:27:56,908 [Worker-350] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
